Parent1,Parent2,Child
Nyafia ,Nyafia ,Nyafia 
Nyafia ,Bushi,Nyafia 
Nyafia ,Bushi Noct,Nyafia 
Prunelia,Elphidran,Nyafia 
Prunelia,Elphidran Aqua,Nyafia 
Prunelia,Sootseer,Nyafia 
Gildane,Arsox,Nyafia 
Gildane,Chillet Ignis,Nyafia 
Gildane,Petallia,Nyafia 
Gildane,Croajiro,Nyafia 
Anubis,Shroomer,Nyafia 
Anubis,Shroomer Noct,Nyafia 
Anubis,Splatterina,Nyafia 
Incineram,Blazehowl,Nyafia 
Incineram,Katress,Nyafia 
Incineram,Nitemary,Nyafia 
Incineram Noct,Blazehowl,Nyafia 
Incineram Noct,Shroomer,Nyafia 
Incineram Noct,Nitemary,Nyafia 
Rushoar,Cryolinx Terra,Nyafia 
Rushoar,Bastigor,Nyafia 
Eikthyrdeer,Faleris,Nyafia 
Eikthyrdeer,Ragnahawk,Nyafia 
Eikthyrdeer,Starryon,Nyafia 
Eikthyrdeer Terra,Mossanda Lux,Nyafia 
Eikthyrdeer Terra,Azurmane,Nyafia 
Digtoise,Sibelyx,Nyafia 
Digtoise,Kingpaca Cryst,Nyafia 
Digtoise,Xenogard,Nyafia 
Galeclaw,Relaxaurus Lux,Nyafia 
Galeclaw,Menasting,Nyafia 
Galeclaw,Knocklem,Nyafia 
Galeclaw,Xenolord ,Nyafia 
Grizzbolt,Gobfin,Nyafia 
Grizzbolt,Gobfin Ignis,Nyafia 
Direhowl,Pyrin Noct,Nyafia 
Direhowl,Reptyro Cryst,Nyafia 
Gorirat,Lyleen,Nyafia 
Gorirat,Menasting,Nyafia 
Gorirat,Menasting Terra,Nyafia 
Gorirat,Faleris Aqua,Nyafia 
Gorirat Terra,Relaxaurus Lux,Nyafia 
Gorirat Terra,Menasting,Nyafia 
Gorirat Terra,Knocklem,Nyafia 
Gorirat Terra,Xenolord ,Nyafia 
Univolt,Vanwyrm Cryst,Nyafia 
Lunaris,Helzephyr,Nyafia 
Lunaris,Helzephyr Lux,Nyafia 
Dazzi,Jetragon,Nyafia 
Dazzi,Paladius,Nyafia 
Gobfin,Lyleen Noct,Nyafia 
Gobfin Ignis,Helzephyr,Nyafia 
Jormuntide,Fenglope,Nyafia 
Jormuntide,Verdash,Nyafia 
Jormuntide Ignis,Fenglope,Nyafia 
Loupmoon,Warsect ,Nyafia 
Loupmoon,Quivern,Nyafia 
Loupmoon,Quivern Botan,Nyafia 
Loupmoon,Selyne,Nyafia 
Suzaku,Tanzee,Nyafia 
Suzaku,Gumoss,Nyafia 
Suzaku,Smokie,Nyafia 
Suzaku Aqua,Kelpsea,Nyafia 
Suzaku Aqua,Kelpsea Ignis,Nyafia 
Pyrin,Caprity,Nyafia 
Pyrin,Lovander,Nyafia 
Pyrin Noct,Vaelet,Nyafia 
Elphidran,Tombat,Nyafia 
Elphidran,Foxcicle,Nyafia 
